game_id,Date,Team,Position,Player,AB,R,H,RBI,2B,3B,HR,BB,SB,CS,HBP,SH,SF,SO,KL,GDP,PO,A
2,2/26/2021,Purdue,C,Kaeley Hallada,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2,2/26/2021,Purdue,PR,    Emilee Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2/26/2021,Purdue,LF,Kiersen George,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2,2/26/2021,Purdue,CF,Kiara Dillon,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
2,2/26/2021,Purdue,PH,    Rylee Platusic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2/26/2021,Purdue,P,Savanah Henley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,2/27/2021,Michigan,LF,"Blair, Lexie",3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2/27/2021,Michigan,3B,"Jimenez, Julia",4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3,2/27/2021,Michigan,PR,"    LeClair, Audrey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Michigan,C,"Carson, Hannah",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0
3,2/27/2021,Michigan,1B,"Bump, Taylor",3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0
3,2/27/2021,Michigan,PR,"    Rodriguez, Kaylee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Michigan,DP,"Allan, Lou",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Michigan,CF,"Hoogenraad, Haley",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Michigan,PH,"    Esman, Lauren",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2/27/2021,Michigan,2B,"Kersten, Sierra",3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2
3,2/27/2021,Michigan,RF,"Gonzalez, Thais",2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0
3,2/27/2021,Michigan,SS,"Rodriguez, Natalia",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,2/27/2021,Michigan,P,"Beaubien, Meghan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Iowa,RF,"Carter, Nia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Iowa,2B,"Banes, Grace",3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1
3,2/27/2021,Iowa,DP,"Burns, Kalena",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3,2/27/2021,Iowa,PH,"    Mayhew, DoniRae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/27/2021,Iowa,1B,"Loecker, Denali",3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0
3,2/27/2021,Iowa,C,"Peek, Marissa",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0
3,2/27/2021,Iowa,PH,"    Milkowski, Lindy",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2/27/2021,Iowa,3B,"Diaz, Sammy",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3,2/27/2021,Iowa,SS,"Hamilton, Ashley",2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
3,2/27/2021,Iowa,CF,"Klosterman, Brylee",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,2/27/2021,Iowa,LF,"Sheehy, Riley",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3,2/27/2021,Iowa,P,"Doocy, Allison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,2/27/2021,Iowa,RF,"Carter, Nia",4,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0
4,2/27/2021,Iowa,2B,"Banes, Grace",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
4,2/27/2021,Iowa,P/DP,"Loecker, Denali",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,2/27/2021,Iowa,C,"Milkowski, Lindy",3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,7,0
4,2/27/2021,Iowa,1B,"Mayhew, DoniRae",2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,0
4,2/27/2021,Iowa,PR,"    Diaz, Sammy",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/27/2021,Iowa,DP,"Burns, Kalena",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2/27/2021,Iowa,SS,"    Hamilton, Ashley",1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
4,2/27/2021,Iowa,3B,"DeSena, Amber",2,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
4,2/27/2021,Iowa,CF,"Klosterman, Brylee",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
4,2/27/2021,Iowa,CF,"    Schulte, Zoe",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2/27/2021,Iowa,LF,"Sheehy, Riley",3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
